レース馬番ID,レースID,レース日付,開催回数,競馬場コード,競馬場名,開催日数,競争条件,レース記号/[抽],レース記号/(馬齢),レース記号/牝,レース記号/(父),レース記号/(別定),レース記号/(混),レース記号/(ハンデ),レース記号/(抽),レース記号/(市),レース記号/(定量),レース記号/牡,レース記号/関東配布馬,レース記号/(指),レース記号/関西配布馬,レース記号/九州産馬,レース記号/見習騎手,レース記号/せん,レース記号/(国際),レース記号/[指],レース記号/(特指),レース番号,重賞回次,レース名,リステッド・重賞競走,障害区分,芝・ダート区分,芝・ダート区分2,右左回り・直線区分,内・外・襷区分,距離(m),天候,馬場状態1,馬場状態2,発走時刻,着順,着順注記,枠番,馬番,馬名,性別,馬齢,斤量,騎手,タイム,着差,1コーナー,2コーナー,3コーナー,4コーナー,上り,単勝,人気,馬体重,場体重増減,東西・外国・地方区分,調教師,馬主,賞金(万円)
19860602040703,198606020407,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,7,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:20,10.0,,2,3,タケシバローレル,牡,5,56.0,中島敏文,1:55.1,1/2,12.0,11.0,13.0,12.0,39.4,33.0,10.0,432.0,-4.0,東,藤本晋,渡辺祥一,
19860602040701,198606020407,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,7,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:20,11.0,,1,1,カミノゴールド,牡,5,56.0,根本康広,1:56.0,5,14.0,14.0,11.0,14.0,40.5,30.2,9.0,436.0,-2.0,東,鈴木清,保手浜弘規,
19860602040702,198606020407,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,7,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:20,12.0,,2,2,ハグロダイオー,牡,8,56.0,上田悟,1:56.1,1/2,14.0,14.0,13.0,12.0,40.3,85.1,14.0,490.0,2.0,東,宮沢今朝,佐藤裕,
19860602040706,198606020407,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,7,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:20,13.0,,4,6,シルバリートーン,牝,6,55.0,細川英二,1:56.3,1,9.0,9.0,11.0,11.0,40.8,159.0,15.0,444.0,0.0,東,相川勝敏,浅川皓司,
19860602040712,198606020407,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,7,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:20,14.0,,7,12,クリスタンアモン,牡,5,56.0,吉永正人,1:56.4,3/4,1.0,1.0,2.0,5.0,41.9,14.5,5.0,472.0,-4.0,東,沢峰次,アモン,
19860602040704,198606020407,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,7,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:20,15.0,,3,4,セイルオンシャダイ,牡,6,55.0,天間昭一,1:58.3,大,2.0,2.0,13.0,15.0,42.5,8.5,3.0,490.0,-12.0,東,大和田稔,吉田善哉,
19860602040813,198606020408,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,1.0,,7,13,サクラエイト,牝,5,54.0,小島太,1:55.0,,12.0,11.0,9.0,11.0,38.5,6.2,4.0,428.0,-4.0,東,高木嘉夫,さくらコマース,510.0
19860602040809,198606020408,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,2.0,,5,9,アストラシロー,牡,5,56.0,黛幸弘,1:55.1,クビ,4.0,4.0,6.0,5.0,38.8,4.5,2.0,488.0,-2.0,東,保田隆芳,西山正行,200.0
19860602040811,198606020408,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,3.0,,6,11,マリオンエース,牡,5,56.0,田村正光,1:55.2,3/4,4.0,4.0,2.0,2.0,39.1,4.0,1.0,520.0,4.0,東,矢野照正,鈴木隆信,130.0
19860602040815,198606020408,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,4.0,,8,15,カシワクーガー,牡,6,57.0,大塚栄三,1:55.5,1.3/4,8.0,8.0,6.0,8.0,39.2,15.9,7.0,554.0,0.0,東,石毛善衛,柏倉譲,77.0
